lesson,TEKS,Human_TEKS,machine_readable
8.7,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.8,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.9,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.10,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.11,6.C,A1.6.C,fa787ef7-5994-593c-9ce9-6555f4d60783
8.12,8.B,A1.8.B,6f25de63-5e5a-5307-96fe-4a1cf41196c9
9.1,11.A,A1.11.A,405ad834-2a5f-5791-afa8-12803e943b05
9.1,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.2,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.3,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.4,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.5,11.A,A1.11.A,405ad834-2a5f-5791-afa8-12803e943b05
9.5,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.6,11.A,A1.11.A,405ad834-2a5f-5791-afa8-12803e943b05
9.6,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.7,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.8,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.9,6.B,A1.6.B,f6d6a34a-1af7-5aa8-bb82-5e5f8dd0d9d0
9.9,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
9.10,6.B,A1.6.B,f6d6a34a-1af7-5aa8-bb82-5e5f8dd0d9d0
9.11,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
